,Libelle1,voie,CP,Ville,surface,lat,long
420,Bibliotheque Municipale,31 RUE DU COMMERCE,71118,Saint-Martin-Belle-Roche,130.0,46.384169,4.855196
422,Bibliotheque Municipale,72 Place des Grenouillats,71260,Saint-Maurice-de-Satonnay,88.0,46.411438,4.782084
425,Bibliotheque Municipale,PLACE SAINT HUGUES,71110,Semur-en-Brionnais,80.0,46.263311,4.087152
426,Bibliotheque Municipale,COUR DU CLOITRE,71700,Tournus,490.0,46.565595,4.909111
427,Bibliotheque de Tramayes,6 Rue de l'Eglise,71520,Tramayes,130.0,46.307659,4.599817
428,Bibliotheque de Fleurville,348 Rue Saint- Saint-Exupery,71260,Fleurville,50.0,46.447183,4.881814
429,BIBLIOTHEQUE,4 GRANDE RUE,72130,ASSE-LE-BOISNE,25.0,48.322509,-0.008217
431,MEDIATHEQUE DE BESSE SUR BRAYE,PROMENADE DE LA PLEIADE,72310,BESSE SUR BRAYE,268.0,47.824274366,0.722121663384
432,BIBLIOTHEQUE MUNICIPALE,8 RUE DES TISSERANDS,72370,LE BREIL SUR MERIZE,30.0,48.009445,0.475921
433,MEDIATHEQUE MUNICIPALE,RUE DE LA REPUBLIQUE,72330,CERANS-FOULLETOURTE,250.0,47.828605,0.078238
434,BIBLIOTHEQUE  MUNICIPALE,PLACE DE LA MAIRIE,72560,CHANGe,148.0,47.987082,0.281133
435,BIBLIOTHEQUE MUNICIPALE CHANTENAY VILLEDIEU,PLACE DE LA MAIRIE,72430,CHANTENAY VILLEDIEU,40.0,47.920477,-0.160531
436,BIBLIOTHEQUE,31 RUE DE LA MAIRIE,72440,COUDRECIEUX,30.0,47.993097,0.629836
437,BIBLIOTHEQUE,RUE PRINCIPALE,72550,DEGRE,45.0,48.048355,0.068137
438,BIBLIOTHEQUE,6 BIS PLACE DE LA MAIRIE,72500,DISSAY SOUS COURCILLON,70.0,47.664655,0.474757
439,BIBLIOTHEQUE MUNICIPALE,1 ROUTE DE VOIVRES,72700,ETIVAL-LES-LE-MANS,300.0,47.95486,0.08704
440,BIBLIOTHEQUE MUNICIPALE CAMILLE BARDOU,12 BIS RUE DU DOCTEUR HOREAU,72130,FRESNAY SUR SARTHE,324.0,48.281843,0.021453
441,BIBLIOTHEQUE,9 RUE DU STADE,72210,LOUPLANDE,64.0,47.944898,0.042149
442,BIBLIOTHEQUE,14 RUE DES BAINS,72390,LE LUART,51.0,48.070045,0.587769
443,BIBLIOTHEQUE,5 RUE PAUL HUMMEL,72220,MARIGNE LAILLE,50.0,47.81718,0.340192
444,MEDIATHEQUE MUNICIPALE,6 RUE CROIX BEUDET,72360,MAYET,240.0,47.75741,0.273171
446,BIBLIOTHEQUE,17 PLACE DE LA CANTINE,72510,SAINT JEAN DE LA MOTTE,75.0,47.74286,0.056369
447,BIBLIOTHEQUE MUNICIPALE,112 GRANDE RUE,72460,SAVIGNE L'EVEQUE,160.0,48.077375,0.301611
449,BIBLIOTHEQUE,PLACE DE L'eCOLE,72390,SEMUR EN VALLON,30.0,48.024177,0.655197
450,BIBLIOTHEQUE,PLACE DE L'EGLISE,72290,SOULIGNE SOUS BALLON,50.0,48.137876,0.235834
451,BIBLIOTHEQUE,RUE DU PRESBYTeRE,72700,SPAY,61.0,47.922311,0.153562
452,BIBLIOTHEQUE,24 BIS RUE DES ROSIERS,72440,TRESSON,48.0,47.903549,0.571893
453,BIBLIOTHEQUE,3 RUE ALEXIS HEURTELOUP,72500,VAAS,120.0,47.668124,0.317235
454,BIBLIOTHEQUE MUNICIPALE,56 RUE XAVIER BOUTET,72320,VIBRAYE,250.0,48.059806,0.731706
455,Mediatheque,222 GRANDE RUE,73210,Aime-La-Plagne,418.0,45.556648,6.649656
