,Caracteristique_du_site,Adresse,Code_postal,Localite,Latitude,Longitude,Numero_de_telephone
101,Bureau de Poste,22 PLACE JEAN JAURES,34400,LUNEL VIEL,"43,6777","4,09273",3631
102,Bureau de Poste,3 RUE PIERRE FLOURENS,34370,MAUREILHAN,"43,358204","3,120763",3631
103,Bureau de Poste,RESIDENCE LES GRESES,34980,MONTFERRIER SUR LEZ,"43,667198","3,857899",3631
104,Agence postale communale,6 RUE DE LA DYSSE,34150,MONTPEYROUX,"43,6954","3,5054",3631
105,Agence postale communale,5 RUE DES LAVOIRS,34570,MURVIEL LES MONTPELLIER,"43,60564512","3,736929686",3631
106,Bureau de Poste,11 AVENUE DE LA CAVE,34440,NISSAN LEZ ENSERUNE,"43,289264","3,126539",3631
107,Agence postale communale,22 AVENUE DE LA MAIRIE,34210,OUPIA,"43,288491","2,765708",3631
108,Agence postale communale,AVENUE DES JARDINS,34230,PLAISSAN,"43,55759576","3,527652196",3631
109,Agence postale communale,PLACE DE L IMBAISSE,34600,LE POUJOL SUR ORB,"43,579181","3,062111",3631
110,Bureau de Poste,AVENUE DE PEZENAS,34320,ROUJAN,"43,503094","3,314079",3631
111,Bureau de Poste,AVENUE DES COSTIERES,34130,ST AUNES,"43,638964","3,962871",3631
112,Agence postale communale,PLACE RAMADE,34670,ST BRES,"43,663655","4,031761",3631
113,Bureau de Poste,10 AVENUE CHARLES TRENET,34360,ST CHINIAN,"43,420494","2,9462",3631
114,Agence postale communale,GRAND RUE,34390,ST ETIENNE D ALBAGNAN,"43,531799","2,855349",3631
115,Bureau de Poste,RUE DE LA BARRIERE,34160,ST GENIES DES MOURGUES,"43,69719642","4,030842615",3631
116,Agence postale communale,LE GRAND CHEMIN,34380,ST JEAN DE BUEGES,"43,828593","3,617528",3631
117,Agence postale communale,LE BOURG,34230,ST PONS DE MAUCHIENS,"43,514199","3,512728",3631
118,Agence postale communale,LE VILLAGE,34390,ST VINCENT D OLARGUES,"43,561091","2,8789",3631
119,Bureau de Poste,VOIE PASTORALE,34330,LA SALVETAT SUR AGOUT,"43,60078","2,706212",3631
120,Bureau de Poste,PLACE DE L EUROPE,34820,TEYRAN,"43,682458","3,927777",3631
121,Agence postale communale,2 rue Edmond Rostand,34490,THEZAN LES BEZIERS,"43,4214","3,1695",3631
122,Bureau de Poste,6 PLACE DU 14 JUILLET,34350,VENDRES,"43,268891","3,223602",3631
123,Bureau de Poste,RUE GENERAL DE GAULLE,34560,VILLEVEYRAC,"43,502188","3,605891",3631
124,Bureau de Poste,198 AVENUE JEAN BENE,34280,LA GRANDE MOTTE,"43,562082","4,084021",3631
125,Bureau de Poste,RUE RAOUL FOLLEREAU,34090,MONTPELLIER,"43,627047","3,875092",3631
126,Bureau de Poste,4 RUE DE L EGLISE,35560,VAL COUESNON,"48,461397","-1,485822",3631
127,Bureau de Poste,1 PLACE DU GENERAL DE GAULLE,35370,ARGENTRE DU PLESSIS,"48,057349","-1,153323",3631
128,Agence postale communale,RUE PRINCE DE TALMOND,35420,LA BAZOUGE DU DESERT,"48,44337844","-1,104908976",3631
129,Bureau de Poste,4 RUE ERIC TABARLY,35340,LA BOUEXIERE,"48,183922","-1,43971",3631
130,Bureau de Poste,2 RUE DES SPORTS,35230,BOURGBARRE,"47,994599","-1,613907",3631
131,Agence postale communale,ROUTE DE LA GARE,35120,LA BOUSSAC,"48,51315136","-1,660408376",3631
132,Bureau de Poste,4 MAIL DE BOURGCHEVREUIL,35510,CESSON SEVIGNE,"48,118591","-1,604207",3631
133,Agence postale communale,MAIRIE,35330,LA CHAPELLE BOUEXIC,"47,928998","-1,941943",3631
134,Relais poste commerçant,5 RUE DU COMMERCE,35590,LA CHAPELLE THOUARAULT,"48,123985","-1,866655",3631
135,Bureau de Poste,4 PLACE RENE CASSIN,35131,CHARTRES DE BRETAGNE,"48,040896","-1,705753",3631
136,Agence postale communale,PLACE LUDOVIC MARTIN,48300,ROCLES,"44,714129","3,782509",3631
137,Bureau de Poste,15 RUE SAINT NICOLAS,35410,CHATEAUGIRON,"48,047178","-1,504671",3631
138,Agence postale communale,1 RUE THEOPHILE BLIN,35120,CHERRUEIX,"48,6051944","-1,709887175",3631
139,Relais poste commerçant,6 PLACE DE LA MAIRIE,35330,COMBLESSAC,"47,87624","-2,08401",3631
140,Relais poste commerçant,17 RUE BERNARD PICOULT,35320,CREVIN,"47,937318","-1,663556",3631
141,Agence postale communale,LE BOURG,35450,DOURDAIN,"48,193195","-1,370749",3631
142,Relais poste commerçant,7 PLACE DE L EGLISE,35440,FEINS,"48,32866","-1,641219",3631
143,Agence postale communale,38 RUE DE LA LIBERTE,35440,GUIPEL,"48,29844861","-1,724595689",3631
144,Agence postale communale,16 RUE DE LA MAIRIE,35560,MARCILLE RAOUL,"48,385691","-1,605795",3631
145,Agence postale communale,22 LE BOULEVARD,35240,MARCILLE ROBERT,"47,9495072","-1,361104954",3631
146,Agence postale communale,2 RUE DE PRELOIS,35380,MAXENT,"47,9823127","-2,034697182",3631
147,Agence postale communale,PLACE DE LA MAIRIE,35360,MEDREAC,"48,267435","-2,063863",3631
148,Agence postale communale,8 RUE BIENHEUREUSE THERESE FANTOU,35540,MINIAC MORVAN,"48,516478","-1,901915",3631
149,Bureau de Poste,36 RUE DU GENERAL DE GAULLE,35870,LE MINIHIC SUR RANCE,"48,576907","-2,012235",3631
150,Bureau de Poste,45 RUE DU GENERAL DE GAULLE,35360,MONTAUBAN DE BRETAGNE,"48,198807","-2,047401",3631
151,Bureau de Poste,PLACE JANE BEUSNEL,35760,MONTGERMONT,"48,155579","-1,716511",3631
152,Bureau de Poste,8 PLACE DE LA MAIRIE,35230,NOYAL CHATILLON SUR SEICHE,"48,042025","-1,661866",3631
153,Bureau de Poste,2 AVENUE CHARLES LE GOFFIC,35740,PACE,"48,148576","-1,773894",3631
154,Agence postale communale,7 RUE DE LA MAIRIE,35210,PRINCE,"48,216994","-1,088682",3631
155,Relais poste commerçant,25 RUE DU COLONEL DU HALGOUET,35660,RENAC,"47,720014","-1,9751",3631
156,Bureau de Poste,6 RUE PASTEUR,35240,RETIERS,"47,91234","-1,37952",3631
157,Bureau de Poste,2 RUE DE L HERMITAGE,35650,LE RHEU,"48,101149","-1,795731",3631
158,Bureau de Poste,16 RUE DE DINARD,35780,LA RICHARDAIS,"48,60644","-2,034128",3631
159,Relais poste commerçant,5 PLACE DE L EGLISE,35610,ROZ SUR COUESNON,"48,588431","-1,592102",3631
160,Agence postale communale,16 RUE DE L EGLISE,35210,ST CHRISTOPHE DES BOIS,"48,22677406","-1,247113448",3631
161,Relais poste commerçant,64 TER RUE CHARLES DE GAULLE,35460,MAEN ROCH,"48,403004","-1,32743",3631
162,Bureau de Poste,4 GRANDE RUE,35430,ST JOUAN DES GUERETS,"48,599306","-1,973331",3631
163,Bureau de Poste,101 RUE DE LA GREVE,35800,ST LUNAIRE,"48,636196","-2,110808",3631
164,Relais poste commerçant,16 RUE DES ECOLES,35250,ST MEDARD SUR ILLE,"48,27276592","-1,65805368",3631
165,Agence postale communale,4 RUE DU GENERAL DE GAULLE,35140,ST OUEN DES ALLEUX,"48,328199","-1,425441",3631
166,Bureau de Poste,54 RUE DE LA LIBERATION,35720,MESNIL ROC H,"48,442955","-1,914121",3631
167,Agence postale communale,2 RUE DE L EGLISE,35330,ST SEGLIN,"47,854355","-2,006452",3631
168,Agence postale communale,PLACE CASROUGE,35430,ST SULIAC,"48,57039849","-1,972725216",3631
169,Bureau de Poste,PLACE DE LA GARE,35490,SENS DE BRETAGNE,"48,3338538","-1,537701699",3631
170,Agence postale communale,36 RUE ONFFROY DE LA ROSIERE,35550,SIXT SUR AFF,"47,775758","-2,079513",3631
171,Relais poste commerçant,2 PLACE DE LA LIBERATION,35160,TALENSAC,"48,109073","-1,927249",3631
172,Bureau de Poste,CENTRE COMMERCIAL DU BOCAGE,35235,THORIGNE FOUILLARD,"48,158573","-1,580602",3631
173,Bureau de Poste,3 AVENUE DU GUESCLIN,35190,TINTENIAC,"48,326721","-1,831847",3631
174,Agence postale communale,3 PLACE SAINT MEDART,35370,TORCE,"48,061697","-1,266452",3631
175,Relais poste commerçant,LE BOURG,35610,TRANS LA FORET,"48,496293","-1,587401",3631
176,Agence postale communale,5 PLACE DE L EGLISE,35320,TRESBOEUF,"47,88345556","-1,545875938",3631
177,Relais poste commerçant,4 PLACE DE L EGLISE,35630,VIGNOC,"48,247947","-1,783055",3631
178,Bureau de Poste,CENTRE COMMERCIAL DES LONGCHAMPS,35700,RENNES,"48,130199","-1,632446",3631
179,Bureau de Poste,129 RUE DE FOUGERES,35700,RENNES,"48,120394","-1,665323",3631
180,Relais poste commerçant,64 BD ALBERT LACROIX,35800,DINARD,"48,635997","-2,066943",3631
181,Bureau de Poste,5 RUE AUGUSTIN BEAUVERGER,35300,FOUGERES,"48,36659","-1,18747",3631
182,Agence postale communale,36 RUE DE REDON,35580,GUICHEN,"48,000363","-1,776031",3631
183,Bureau de Poste,90 RUE DE CHATEAUGIRON,35000,RENNES,"48,100198","-1,649202",3631
184,Bureau de Poste,31 AVENUE DU CHEMIN VERT,35131,PONT PEAN,"48,013223","-1,703228",3631
185,Bureau de Poste,16 PLACE DU LANDREL,35200,RENNES,"48,09077","-1,651888",3631
186,Bureau de Poste,101 AVENUE HENRI FREVILLE,35200,RENNES,"48,087893","-1,674193",3631
187,Bureau de Poste,33 BIS RUE JULES LALLEMAND,35000,RENNES,"48,1003","-1,7066",3631
188,Agence postale communale,1 BIS PLACE DE L EGLISE,36120,AMBRAULT,"46,78490597","1,960033818",3631
189,Bureau de Poste,10 RUE DE LA POSTE,36120,ARDENTES,"46,741998","1,83217",3631
190,Relais poste commerçant,CHEMIN VERT,36200,LE PECHEREAU,"46,565494","1,541677",3631
191,Relais poste commerçant,25 RUE DE LA MAIRIE,36110,BAUDRES,"47,057683","1,57898",3631
192,Bureau de Poste,53 RUE ARISTIDE BRIAND,36300,LE BLANC,"46,635245","1,061322",3631
193,Agence postale communale,6 ROUTE DE LA CHATRE,36140,CREVANT,"46,486199","1,946969",3631
194,Relais poste commerçant,2 PLACE DE L EGLISE,36360,FAVEROLLES,"47,17117227","1,41002479",3631
195,Relais poste commerçant,21 ROUTE NATIONALE,36300,INGRANDES,"46,598198","0,963545",3631
196,Agence postale communale,2 RUE DU 11 NOVEMBRE,36350,LUANT,"46,733295","1,55779",3631
197,Relais poste commerçant,2 ROUTE DE BELABRE,36370,MAUVIERES,"46,573798","1,088994",3631
198,Agence postale communale,19 RUE PRINCIPALE,36500,NEUILLAY LES BOIS,"46,764749","1,47519",3631
199,Bureau de Poste,3 RUE DE LA GARE,36100,NEUVY PAILLOUX,"46,886441","1,859489",3631
200,Agence postale communale,1 PLACE DES COMBATTANTS AFN,36300,POULIGNY ST PIERRE,"46,68113884","1,039594364",3631
201,Agence postale communale,1 PLACE DE LA MAIRIE,36120,PRUNIERS,"46,7891","2,0492",3631
202,Bureau de Poste,34 RUE DE LA REPUBLIQUE,36260,REUILLY,"47,085531","2,045192",3631
